ProcessID	OperationID	BuildID	WUnit	StationID	ClockNumber	ScanInTime	ScanOutTime	RedirectedAt	Plant	FlowLine	SCDDTE	plannedtime
2/130/4-5 LPGBRACKET	10	F879           	230086         	AB45FC18  	NULL	2022-07-01 15:45:08.840	NULL	0	010            	1-8 TON   	2022-06-25	11.1676
2/001/4-5MASTERCYL  	10	A099           	261084         	AB45FC19  	102165	2022-07-02 04:40:37.797	2022-07-02 04:44:49.970	0	010            	1-8 TON   	2022-06-05	44.0833
2/001/4-5MASTERCYL  	10	F879           	230086         	AB45FC19  	102165	2022-07-02 05:12:17.680	2022-07-02 05:13:06.577	0	010            	1-8 TON   	2022-06-25	19.2337
2/005/4-5 COWL MAIN 	5	A099           	261084         	AB45FC21  	101580	2022-07-02 05:16:17.790	NULL	1	010            	1-8 TON   	2022-06-05	37.7249
6-7T OE             	10	F879           	230086         	AB52050   	102172	2022-07-02 05:22:25.740	2022-07-02 05:29:53.280	0	010            	1-8 TON   	2022-06-25	86.9989
2/002/4-7 LEVER SUB 	10	F879           	230086         	AB45FC20  	102281	2022-07-02 05:38:53.300	2022-07-02 05:54:28.587	0	010            	1-8 TON   	2022-06-25	7.72
2/003/4-5 VALVE ASSY	10	F879           	230086         	AB45FC01  	102233	2022-07-02 05:43:49.757	2022-07-02 05:59:09.963	0	010            	1-8 TON   	2022-06-25	18.5384
2/005/4-5 COWL MAIN 	10	A099           	261084         	AB45FC02  	102433	2022-07-02 05:54:42.730	2022-07-02 07:34:33.210	0	010            	1-8 TON   	2022-06-05	20.0801
2/005/4-5 COWL MAIN 	20	A099           	261084         	AB45FC03  	102281	2022-07-02 06:06:56.240	2022-07-02 06:37:22.403	0	010            	1-8 TON   	2022-06-05	28.91
2/002/4-7 LEVER SUB 	10	A099           	261084         	AB45FC20  	102165	2022-07-02 06:11:47.150	2022-07-02 07:15:50.430	0	010            	1-8 TON   	2022-06-05	14.75
FLM SEAT ASSY       	10	A099           	261084         	AB92265   	102285	2022-07-02 07:37:03.557	2022-07-02 07:47:39.510	0	010            	1-8 TON   	2022-06-05	21.3201
2/001/4-5MASTERCYL  	10	A099           	261090         	AB45FC19  	102165	2022-07-02 07:48:09.797	2022-07-02 07:48:31.907	0	010            	1-8 TON   	2022-07-06	24.9633
2/005/4-5 COWL MAIN 	5	F879           	230086         	AB45FC21  	101580	2022-07-02 08:00:07.430	2022-07-02 08:11:17.857	0	010            	1-8 TON   	2022-06-25	18.9644
2/050/4-5 RADIATRSUB	10	F879           	230086         	AB45FC13  	NULL	2022-07-02 08:13:30.843	NULL	0	010            	1-8 TON   	2022-06-25	10.5637
2/025/4-5 TRANSMNSUB	20	F879           	230086         	AB45FC22  	101678	2022-07-02 08:15:45.390	2022-07-02 09:19:01.373	0	010            	1-8 TON   	2022-06-25	23.1255
2/005/4-5 COWL MAIN 	10	F879           	230086         	AB45FC02  	102433	2022-07-02 08:18:41.507	2022-07-02 08:33:11.393	0	010            	1-8 TON   	2022-06-25	21.8671
2/015/4-5 TILT SUB  	10	F879           	230086         	AB45FC04  	102332	2022-07-02 08:22:34.893	2022-07-02 08:31:18.630	0	010            	1-8 TON   	2022-06-25	30.1173
2/110/4-5 HOOD SUB  	10	A099           	261084         	AB45FC17  	102217	2022-07-02 08:32:39.217	2022-07-02 09:19:43.533	0	010            	1-8 TON   	2022-06-05	29.86
FLM SEAT ASSY       	10	F879           	230086         	AB92265   	102285	2022-07-02 08:34:19.527	2022-07-02 08:56:21.050	0	010            	1-8 TON   	2022-06-25	10.3078
2/005/4-5 COWL MAIN 	20	F879           	230086         	AB45FC03  	102281	2022-07-02 08:35:11.550	2022-07-02 09:14:52.903	0	010            	1-8 TON   	2022-06-25	29.1415
2/030/4-5 PWRTRAIN  	10	F879           	230086         	AB45FC07  	101314	2022-07-02 09:10:17.777	2022-07-02 09:37:22.510	0	010            	1-8 TON   	2022-06-25	19.0009
2/020/4-5 STRAXLPREP	10	F879           	230086         	AB45FC05  	102254	2022-07-02 09:10:28.043	2022-07-02 09:31:42.700	0	010            	1-8 TON   	2022-06-25	44.2989
